SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
32,20190032,F,0,NA,IP (Y),SCHOOL Y,0,56,,,57.5,,,,59.8,,,,,61.6,,,,,,,,,77.6,,,,,,,,,,,,,,,,,,,2
33,20190033,M,254,NA,IP (X),SCHOOL X,0,54,,,59.5,,77.2,72.4,,,,,,,,,,,,,,,,,,,,,,,,65.6,,,,,,,,,,1
34,20190034,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,61,,,23,,,,,,61.3,,44,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
35,20190035,F,260,NA,IP (Y),SCHOOL Y,0,64,,,57.5,,,,64.1,60.4,,,,,,,,65.9,,,,,,,,,,,,,,,,,,,,68,,,,2
36,20190036,F,252,NA,IP (Y),SCHOOL Y,0,63,,,45,,,,51.7,,,,,,,63,,,,,,,,,,,,,,,,56.7,,,,,,,,,,1
37,20190037,F,243,NA,IP (Y),SCHOOL Y,0,55,,,68,41,,49.6,,,,,,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
38,20190038,F,259,NA,IP (Y),SCHOOL Y,0,72,,,78,,,74.2,63.9,,,,,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
39,20190039,F,235,NA,DSA (CCA),CHIJ SECONDARY (TOA PAYOH),0,54,,,52,,,65.8,47.1,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40,20190040,F,229,NA,IP (Y),SCHOOL Y,0,50,,,57,,,,46.9,50.2,,,,,,,,,,,,,,,,,,,,,,55.6,,,,,,,,,,1
41,20190041,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,0,65,,,60.5,,,,68.9,70.2,,,,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
42,20190042,M,250,NA,IP (X),SCHOOL X,0,77,,,95,,EX,EX,,,,,,EX,,,,,,,,,,,,,,,,,,,,,86,,,,,,,2
43,20190043,F,267,NA,IP (Y),SCHOOL Y,0,59,,,64.5,,,63.8,60.4,,,,,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
44,20190044,F,266,NA,IP (Y),SCHOOL Y,0,68,,,82.5,,,,83.9,68.8,58,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,1
45,20190045,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,61,,,73,,,68.8,76.4,,,,,61.2,,,,,,,,,,,,,,,,,,,,,,,47,,,,,1
46,20190046,F,257,NA,IP (Y),SCHOOL Y,0,61,,,41.5,,,37.4,45.7,,,,,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
47,20190047,M,255,NA,IP (X),SCHOOL X,0,64,,,80.5,,,77.8,79.8,,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,1
48,20190048,M,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,0,64,,,46,,,67.6,64.2,,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
49,20190049,M,256,NA,IP (X),SCHOOL X,0,64,,,60,,,67.6,57.4,,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
50,20190050,M,255,NA,IP (X),SCHOOL X,0,65,,,77,,,,81.9,75.5,,,,70,,,,,,,,,,,,,,,,,,,,,,,,61.3,,,,1
51,20190051,M,0,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,0,66,,,64,,,76.5,67.4,,,,,54.9,,,,,,,,,,,,,,,,,,,,,,,49.5,,,,,1
52,20190052,M,266,NA,IP (X),SCHOOL X,0,69,,,75.5,,,77.7,74.7,,,,,64.4,,,,,,,,,,,,,,,,,,,,,,,,,64,,,2
53,20190053,M,261,NA,IP (X),SCHOOL X,0,63,,,67,,,,78.6,68.7,,,,66,,,,,,,,,,,,,,,,,,,,,,,48.5,,,,,1
